Fips,Average Humidity,State_Code
19113,84.88%,IA
19105,84.40%,IA
19017,84.33%,IA
19065,84.20%,IA
19107,83.90%,IA
19087,83.81%,IA
19061,83.75%,IA
19013,83.73%,IA
19055,83.61%,IA
19019,83.53%,IA
19081,83.46%,IA
19063,83.45%,IA
19033,83.43%,IA
19109,83.37%,IA
19037,83.31%,IA
19011,83.23%,IA
19057,83.19%,IA
19147,83.11%,IA
19101,82.89%,IA
19067,82.84%,IA
19069,82.82%,IA
19023,82.73%,IA
19157,82.70%,IA
19137,82.70%,IA
19189,82.66%,IA
19151,82.65%,IA
19091,82.61%,IA
19163,82.60%,IA
19079,82.59%,IA
19171,82.56%,IA
19043,82.54%,IA
19131,82.47%,IA
19169,82.28%,IA
19015,82.26%,IA
19143,82.25%,IA
19191,82.22%,IA
19041,82.17%,IA
19043,82.17%,IA
19097,82.14%,IA
19197,82.14%,IA
19009,82.14%,IA
19045,82.13%,IA
19179,82.06%,IA
19075,82.06%,IA
19083,81.99%,IA
19195,81.97%,IA
19145,81.96%,IA
19021,81.94%,IA
19187,81.91%,IA
19029,81.70%,IA
19071,81.68%,IA
19059,81.67%,IA
19127,81.66%,IA
19177,81.65%,IA
19073,81.62%,IA
19035,81.61%,IA
19123,81.60%,IA
19003,81.58%,IA
19167,81.52%,IA
19165,81.38%,IA
19089,81.36%,IA
19149,81.30%,IA
19093,81.28%,IA
19025,81.23%,IA
19085,81.21%,IA
19173,81.15%,IA
19129,81.09%,IA
19193,81.09%,IA
19161,81.06%,IA
19111,81.05%,IA
19155,80.92%,IA
19005,80.88%,IA
19119,80.82%,IA
19051,80.77%,IA
19047,80.75%,IA
19027,80.65%,IA
19133,80.36%,IA
19049,80.24%,IA
19153,80.22%,IA
19099,80.06%,IA
19159,79.99%,IA
19077,79.92%,IA
19125,79.71%,IA
19181,79.68%,IA
19117,79.65%,IA
19001,79.61%,IA
19175,79.55%,IA
19135,79.17%,IA
19121,79.08%,IA
19039,79.04%,IA
19053,78.75%,IA
19007,78.48%,IA
19185,78.47%,IA
20023,82.98%,KS
20045,82.59%,KS
20059,82.56%,KS
20177,82.30%,KS
20087,82.05%,KS
20181,81.68%,KS
